Instrument Name,SDS2352X-E
Serial Number,SDS2EBAC3R0176
Software Version,2.1.1.1.20 R7
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,6V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100000Hz
Stop Frequency,1000000Hz
Sweep Line,50
Sweep Log(dec),498
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-20.5dB,19.5dB
Phase Unit,Degree
Phase Axis Range,-140Deg,20Deg
Bode Data
Number of Points,499
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
100000,-2.29223581,-0.259997289
100463.437,-2.28964977,-0.243970439
100929.022,-2.27998339,-0.284185136
101396.764,-2.27350174,-0.261694009
101866.674,-2.26866355,-0.259295257
102338.762,-2.25561439,-0.269855748
102813.038,-2.25102634,-0.26443901
103289.512,-2.24971658,-0.27411959
103768.194,-2.2402955,-0.291417378
104249.094,-2.21447499,-0.29050012
104732.223,-2.20851629,-0.290349061
105217.591,-2.19810469,-0.299460869
105705.208,-2.19600887,-0.310094579
106195.085,-2.18036105,-0.320186086
106687.233,-2.17288498,-0.303648348
107181.661,-2.16560191,-0.314781289
107678.38,-2.15557995,-0.332923685
108177.402,-2.15438229,-0.323476089
108678.736,-2.1457292,-0.323108071
109182.393,-2.13627187,-0.330744841
109688.385,-2.12924592,-0.351949711
110196.722,-2.12165503,-0.342911664
110707.414,-2.10984589,-0.367433888
111220.473,-2.09881922,-0.368932552
111735.91,-2.09039829,-0.347090395
112253.736,-2.07549112,-0.380692004
112773.961,-2.06696263,-0.38620713
113296.598,-2.05888728,-0.396919896
113821.656,-2.05443312,-0.396951013
114349.148,-2.03295429,-0.393216037
114879.084,-2.03285255,-0.410685307
115411.476,-2.01567542,-0.409568162
115946.336,-2.00885716,-0.438306365
116483.674,-1.99644359,-0.423163285
117023.503,-1.97921218,-0.453207597
117565.833,-1.96705476,-0.443766951
118110.676,-1.95338504,-0.452041358
118658.045,-1.94762628,-0.474630444
119207.95,-1.92619134,-0.462455743
119760.404,-1.92187472,-0.46043589
120315.418,-1.90688263,-0.483095435
120873.004,-1.89765193,-0.482384185
121433.175,-1.88109019,-0.521326325
121995.941,-1.86967642,-0.518365295
122561.315,-1.85906858,-0.532949682
123129.31,-1.84343523,-0.523900921
123699.937,-1.82299792,-0.542363679
124273.208,-1.80074785,-0.556631951
124849.136,-1.77690124,-0.578102108
125427.733,-1.76472202,-0.593289916
126009.012,-1.75545494,-0.603204736
126592.984,-1.72818854,-0.625866411
127179.663,-1.71701344,-0.641683451
127769.061,-1.69836949,-0.636317332
128361.19,-1.67661298,-0.653853615
128956.063,-1.65801884,-0.668798016
129553.694,-1.64097279,-0.694246745
130154.093,-1.61870236,-0.689027055
130757.276,-1.60288587,-0.720474203
131363.253,-1.58349683,-0.737382451
131972.039,-1.55737828,-0.729283944
132583.647,-1.53737146,-0.772095124
133198.088,-1.51188903,-0.764482517
133815.378,-1.49273153,-0.795828076
134435.528,-1.46266616,-0.832015918
135058.552,-1.43786948,-0.839972041
135684.463,-1.41615217,-0.857527156
136313.275,-1.39258392,-0.883048719
136945.001,-1.36257831,-0.914103603
137579.655,-1.32546619,-0.961612719
138217.25,-1.29827904,-0.967428412
138857.8,-1.27322965,-1.00197482
139501.319,-1.24016883,-1.02287578
140147.82,-1.21268211,-1.05203419
140797.316,-1.17818584,-1.09430583
141449.823,-1.1441418,-1.11424581
142105.354,-1.11267766,-1.15074681
142763.923,-1.07697174,-1.18261893
143425.544,-1.03677841,-1.22273171
144090.231,-0.997573016,-1.26037086
144757.999,-0.962102349,-1.3033286
145428.861,-0.911464684,-1.35157902
146102.832,-0.869245121,-1.39038907
146779.927,-0.837236953,-1.43286084
147460.159,-0.782883263,-1.50391092
148143.544,-0.735876414,-1.55206494
148830.096,-0.679059694,-1.60899509
149519.83,-0.623899702,-1.67195699
150212.76,-0.576976709,-1.717823
150908.902,-0.516809722,-1.80519399
151608.27,-0.44971628,-1.84906305
152310.879,-0.38585037,-1.94557587
153016.744,-0.325602884,-2.03648456
153725.88,-0.26317662,-2.09366636
154438.303,-0.188996832,-2.18127788
155154.027,-0.119217471,-2.2990056
155873.068,-0.0442902661,-2.40794374
156595.442,0.0389847647,-2.53998399
157321.163,0.131475961,-2.67548085
158050.248,0.227402736,-2.82263191
158782.711,0.326163387,-2.97572881
159518.569,0.428962853,-3.14763528
160257.837,0.53947293,-3.31988443
161000.531,0.648926433,-3.54906939
161746.667,0.781816336,-3.75184621
162496.261,0.913367951,-3.99367346
163249.329,1.05263983,-4.28370775
164005.887,1.17404413,-4.56303997
164765.951,1.35108773,-4.93405592
165529.538,1.53163288,-5.33745326
166296.663,1.73060862,-5.80252751
167067.343,1.93638084,-6.28120558
167841.595,2.15958723,-6.87310274
168619.435,2.41616216,-7.5324449
169400.88,2.69708345,-8.36936407
170185.947,3.00227927,-9.3160137
170974.651,3.31730425,-10.364249
171767.011,3.67724799,-11.6383505
172563.043,4.08630931,-13.2669393
173362.764,4.55091661,-15.239805
174166.192,5.04220546,-17.6807181
174973.342,5.6099114,-20.8562454
175784.234,6.25417477,-25.0493449
176598.883,7.01722885,-30.8059775
177417.307,7.69986014,-38.1243415
178239.525,8.28882744,-47.9545704
179065.553,8.55024196,-60.1419108
179895.409,8.29339383,-74.4675577
180729.111,7.4002686,-88.2920012
181566.677,5.81253116,-100.433203
182408.124,3.92430919,-109.843786
183253.471,1.95212658,-116.086021
184102.735,-0.14392775,-120.009338
184955.936,-2.27433971,-121.93601
185813.09,-4.34717032,-121.82466
186674.217,-6.48868283,-119.700462
187539.334,-8.64468944,-115.496115
188408.461,-10.7347274,-108.255989
189281.615,-12.6548954,-97.7524541
190158.817,-14.0977646,-83.6687588
191040.083,-14.8164216,-67.7558324
191925.433,-14.7715815,-52.6972558
192814.887,-14.2187298,-40.5853778
193708.463,-13.4573754,-31.4994628
194606.179,-12.6973746,-24.9869818
195508.057,-11.9221966,-20.1645777
196414.113,-11.2486922,-16.5835783
197324.369,-10.640941,-13.8632812
198238.843,-10.103487,-11.7384121
199157.556,-9.63573975,-10.0740146
200080.525,-9.22448787,-8.74244317
201007.773,-8.83084358,-7.64269039
201939.317,-8.50039474,-6.75733385
202875.179,-8.181292,-6.01676671
203815.378,-7.91358395,-5.38088238
204759.934,-7.6496262,-4.83034487
205708.867,-7.42541498,-4.41028734
206662.198,-7.19737507,-4.01599133
207619.947,-7.01409899,-3.65476111
208582.135,-6.82751585,-3.37695536
209548.782,-6.6502066,-3.09850693
210519.909,-6.49188721,-2.88776734
211495.536,-6.33611599,-2.69351727
212475.684,-6.19676556,-2.46983495
213460.376,-6.04442446,-2.47291883
214449.63,-5.93831539,-2.19308801
215443.469,-5.82501121,-2.05229648
216441.914,-5.71214407,-1.95045129
217444.986,-5.59913987,-1.83895238
218452.706,-5.49523912,-1.75047089
219465.097,-5.40097176,-1.65320051
220482.18,-5.28263867,-1.62940156
221503.976,-5.21286361,-1.54667632
222530.507,-5.13446473,-1.46394211
223561.796,-5.0393411,-1.43301023
224597.864,-4.96299782,-1.35333096
225638.734,-4.88182976,-1.32923935
226684.428,-4.81449923,-1.27314535
227734.967,-4.74072383,-1.23306291
228790.375,-4.67735466,-1.1589144
229850.675,-4.59649779,-1.16472493
230915.888,-4.52094176,-1.15293604
231986.038,-4.45700401,-1.13333383
233061.147,-4.39263121,-1.09558318
234141.239,-4.3303081,-1.10113623
235226.336,-4.25931361,-1.07680833
236316.462,-4.20213143,-1.05152696
237411.64,-4.13899222,-1.04742919
238511.893,-4.0795562,-1.05260589
239617.246,-4.0208391,-1.05393768
240727.721,-3.96493437,-1.05023839
241843.342,-3.90683467,-1.04821857
242964.134,-3.8465919,-1.04189117
244090.12,-3.79066849,-1.0629074
245221.324,-3.73439286,-1.05140047
246357.77,-3.66653055,-1.06655117
247499.484,-3.61336311,-1.08038934
248646.488,-3.55416283,-1.09070707
249798.808,-3.49587896,-1.12456308
250956.468,-3.43699847,-1.16122047
252119.493,-3.38589685,-1.16340647
253287.908,-3.31485646,-1.19982193
254461.738,-3.25546212,-1.23605322
255641.008,-3.19634288,-1.26877191
256825.744,-3.12930476,-1.29402515
258015.969,-3.07192745,-1.3275328
259211.711,-3.00264697,-1.35079182
260412.994,-2.94297353,-1.4109136
261619.844,-2.8676932,-1.44675176
262832.288,-2.79921656,-1.49798805
264050.35,-2.72746225,-1.55269702
265274.057,-2.66963915,-1.61466104
266503.435,-2.59873265,-1.66883208
267738.511,-2.52242298,-1.73448646
268979.31,-2.44416844,-1.80533013
270225.86,-2.3618915,-1.87816858
271478.187,-2.27077421,-1.98295068
272736.317,-2.1902216,-2.05664961
274000.278,-2.09520409,-2.19728797
275270.097,-1.99914254,-2.28677261
276545.801,-1.89618674,-2.41528521
277827.416,-1.79234948,-2.5609201
279114.972,-1.68073184,-2.70299408
280408.494,-1.57426305,-2.86420362
281708.011,-1.44944776,-3.02261225
283013.55,-1.3205919,-3.24231692
284325.14,-1.18505633,-3.45588306
285642.808,-1.03887171,-3.70574369
286966.582,-0.876943105,-3.96463016
288296.492,-0.712794096,-4.26954461
289632.564,-0.540751415,-4.62025775
290974.829,-0.354107471,-5.00292578
292323.314,-0.153920537,-5.43663574
293678.049,0.071386906,-5.95004804
295039.062,0.30776156,-6.55033214
296406.382,0.569860121,-7.21514136
297780.039,0.853799556,-8.00735893
299160.062,1.15301767,-8.9466799
300546.48,1.49515195,-10.0689099
301939.324,1.88129022,-11.424831
303338.623,2.30809101,-13.0936184
304744.406,2.78290583,-15.1593854
306156.705,3.31122719,-17.7497651
307575.549,3.89780227,-21.1004745
309000.968,4.54511019,-25.4737192
310432.993,5.22309107,-31.2214073
311871.654,5.88726701,-38.9299457
313316.983,6.41487507,-49.0333292
314769.01,6.6097712,-61.8129406
316227.766,6.22806927,-76.0457563
317693.283,5.1762679,-89.8731253
319165.591,3.63133011,-101.339976
320644.723,1.69231301,-109.911492
322130.709,-0.345248145,-115.637898
323623.582,-2.47009881,-119.093199
325123.374,-4.53121268,-120.260246
326630.116,-6.67594762,-119.645806
328143.841,-8.80837285,-116.909385
329664.581,-10.9183033,-111.66648
331192.369,-12.9059072,-103.459815
332727.237,-14.6229932,-92.006438
334269.218,-15.8210341,-77.6164371
335818.346,-16.2741018,-62.305517
337374.652,-16.0733584,-48.6213985
338938.171,-15.4719914,-37.8583873
340508.936,-14.7279949,-29.7913772
342086.981,-13.9909758,-23.8663037
343672.339,-13.3014874,-19.4997557
345265.044,-12.6728591,-16.1551372
346865.13,-12.1005438,-13.6262554
348472.631,-11.6104225,-11.5502846
350087.583,-11.1699312,-10.0215955
351710.018,-10.7759336,-8.7095877
353339.973,-10.4064645,-7.62018874
354977.481,-10.0840012,-6.80870659
356622.578,-9.79147299,-6.02104101
358275.299,-9.52493147,-5.4193544
359935.68,-9.28599641,-4.83950623
361603.755,-9.06316896,-4.36655883
363279.561,-8.86218011,-4.03488427
364963.133,-8.66294977,-3.69658576
366654.507,-8.49093507,-3.40725876
368353.72,-8.31564379,-3.06854493
370060.808,-8.15627598,-2.82761514
371775.807,-8.00234477,-2.64749685
373498.753,-7.8686466,-2.45001164
375229.685,-7.75229113,-2.24339365
376968.638,-7.63320995,-2.0959066
378715.651,-7.52521251,-1.99014664
380470.759,-7.41047944,-1.84559152
382234.002,-7.315407,-1.7671179
384005.416,-7.21579142,-1.67196252
385785.039,-7.11723606,-1.5426917
387572.91,-7.02997206,-1.48971499
389369.066,-6.93833148,-1.41844551
391173.547,-6.85986675,-1.36886786
392986.39,-6.76547011,-1.3148596
394807.635,-6.69327567,-1.2409929
396637.319,-6.60915744,-1.20513101
398475.484,-6.52331346,-1.16475746
400322.167,-6.45117341,-1.12229991
402177.408,-6.38105374,-1.07879579
404041.247,-6.30430414,-1.08942519
405913.724,-6.24133043,-1.08482558
407794.878,-6.17158365,-1.04107089
409684.751,-6.1116523,-1.06792393
411583.382,-6.03540584,-1.07072187
413490.812,-5.97195184,-1.10377226
415407.081,-5.91514899,-1.08269936
417332.232,-5.83670246,-1.14963351
419266.304,-5.77056513,-1.14405601
421209.339,-5.70192986,-1.16563072
423161.379,-5.63499103,-1.21881467
425122.466,-5.56645934,-1.32844507
427092.641,-5.48772579,-1.35820748
429071.946,-5.41441403,-1.41800719
431060.425,-5.33347351,-1.52077788
433058.119,-5.2544365,-1.61439877
435065.07,-5.17843953,-1.73430068
437081.323,-5.09048883,-1.87575416
439106.92,-4.99378695,-2.0673351
441141.904,-4.89716969,-2.2170728
443186.319,-4.78065101,-2.45023007
445240.209,-4.67471186,-2.74552186
447303.617,-4.55459959,-3.0216394
449376.587,-4.42540621,-3.44766959
451459.165,-4.28332961,-3.92156013
453551.394,-4.11993781,-4.51449851
455653.319,-3.9429186,-5.29106463
457764.985,-3.75786217,-6.29079983
459886.438,-3.52160286,-7.54673116
462017.722,-3.29256082,-9.26076423
464158.883,-3.01677375,-11.6152129
466309.968,-2.7647592,-14.8158699
468471.021,-2.56219033,-19.2830093
470642.089,-2.49197035,-25.4440648
472823.219,-2.77855828,-32.9432923
475014.457,-3.61580187,-40.8779416
477215.85,-5.15510983,-46.0806952
479427.445,-6.95600585,-46.1291742
481649.289,-8.51578244,-40.6001048
483881.43,-9.38992718,-32.4918022
486123.916,-9.6636205,-24.4369889
488376.795,-9.56311586,-18.1544446
490640.114,-9.30184632,-13.5899982
492913.922,-8.99460655,-10.2494675
495198.267,-8.72435232,-7.94268688
497493.2,-8.48098254,-6.32835316
499798.767,-8.24661585,-5.02992132
502115.02,-8.05611294,-4.1494352
504442.007,-7.88500676,-3.41446258
506779.778,-7.72809425,-2.83408793
509128.383,-7.58791369,-2.40608541
511487.873,-7.46763418,-1.99488436
513858.297,-7.36186,-1.70819852
516239.707,-7.25204241,-1.4581553
518632.153,-7.15792997,-1.23617448
521035.687,-7.07818757,-1.0847954
523450.359,-7.00462241,-0.959404917
525876.222,-6.93695905,-0.783760687
528313.327,-6.87470029,-0.69395735
530761.727,-6.81079087,-0.576392168
533221.473,-6.74814513,-0.488528561
535692.619,-6.70051688,-0.429286864
538175.217,-6.65901046,-0.353616279
540669.321,-6.60573901,-0.253691614
543174.982,-6.55819385,-0.231149236
545692.257,-6.52341164,-0.17185064
548221.197,-6.48247186,-0.131717606
550761.857,-6.45067555,-0.0717915111
553314.291,-6.42407332,-0.0542363467
555878.555,-6.39988559,-0.00235840082
558454.702,-6.36442635,0.0475895201
561042.788,-6.32953217,0.0418784043
563642.868,-6.31353425,0.107678542
566254.998,-6.28288383,0.156873675
568879.233,-6.26757368,0.149145079
571515.63,-6.24595102,0.20942543
574164.246,-6.21666047,0.226994746
576825.135,-6.19702357,0.230773443
579498.357,-6.18539228,0.259543358
582183.967,-6.16982082,0.291502347
584882.023,-6.15479052,0.300202969
587592.583,-6.13825038,0.382196417
590315.705,-6.13814614,0.437509816
593051.446,-6.11595584,0.45787547
595799.867,-6.1202257,0.46086328
598561.024,-6.10055759,0.502514785
601334.977,-6.09646978,0.577215036
604121.786,-6.09910037,0.633702962
606921.511,-6.09577875,0.69929873
609734.21,-6.10171439,0.81114241
612559.944,-6.09990443,0.920336357
615398.774,-6.10365006,1.07525252
618250.76,-6.10143496,1.3079036
621115.963,-6.12574592,1.61063104
623994.444,-6.12599768,2.06579013
626886.266,-6.11792756,2.6400793
629791.489,-6.0650949,3.39646564
632710.176,-5.95658293,4.15409504
635642.389,-5.77226129,4.48229307
638588.192,-5.59439081,4.17656132
641547.646,-5.48937328,3.46637166
644520.815,-5.44485171,2.73960599
647507.764,-5.43131238,2.21105461
650508.554,-5.43408626,1.79019756
653523.252,-5.44663244,1.5152016
656551.921,-5.45316435,1.2868055
659594.626,-5.46667658,1.16147967
