Instrument Name,SDS2352X-E
Serial Number,SDS2EBAC3R0176
Software Version,2.1.1.1.20 R7
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,6V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100000Hz
Stop Frequency,1000000Hz
Sweep Line,50
Sweep Log(dec),498
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-9.8dB,6.2dB
Phase Unit,Degree
Phase Axis Range,-110Deg,10Deg
Bode Data
Number of Points,499
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
100000,-0.994639013,-0.0879861166
100463.437,-0.994285815,-0.095916619
100929.022,-0.987459326,-0.0891744321
101396.764,-0.981003303,-0.0795438503
101866.674,-0.984550733,-0.0826881918
102338.762,-0.97870539,-0.0887242951
102813.038,-0.976367409,-0.098998473
103289.512,-0.975237339,-0.0957032657
103768.194,-0.97075161,-0.0758495662
104249.094,-0.966031957,-0.105059565
104732.223,-0.963934056,-0.0868539615
105217.591,-0.959675964,-0.0954494428
105705.208,-0.962700619,-0.0990807015
106195.085,-0.958269433,-0.108390644
106687.233,-0.955590133,-0.116697407
107181.661,-0.950310688,-0.113133475
107678.38,-0.945199032,-0.105231115
108177.402,-0.943519347,-0.0992955351
108678.736,-0.937039807,-0.0904073335
109182.393,-0.938270075,-0.119790514
109688.385,-0.931234669,-0.119998227
110196.722,-0.919375211,-0.113551338
110707.414,-0.919245779,-0.117040388
111220.473,-0.922060041,-0.10813914
111735.91,-0.921805219,-0.143418791
112253.736,-0.912321577,-0.117934558
112773.961,-0.902377577,-0.122560131
113296.598,-0.906950136,-0.137561058
113821.656,-0.891634694,-0.125792055
114349.148,-0.889814096,-0.139155886
114879.084,-0.892850828,-0.142542721
115411.476,-0.882793967,-0.146468593
115946.336,-0.881542814,-0.140474429
116483.674,-0.873709637,-0.134715299
117023.503,-0.872865661,-0.143004719
117565.833,-0.867201972,-0.151826183
118110.676,-0.862117858,-0.155592172
118658.045,-0.855181392,-0.159715368
119207.95,-0.851951072,-0.152674694
119760.404,-0.839267406,-0.167770486
120315.418,-0.832891253,-0.164691295
120873.004,-0.835934152,-0.168094734
121433.175,-0.828155388,-0.166915229
121995.941,-0.824776321,-0.192687223
122561.315,-0.814666803,-0.190968262
123129.31,-0.807320163,-0.176158202
123699.937,-0.803088995,-0.207176068
124273.208,-0.801058824,-0.17765474
124849.136,-0.784128219,-0.216166698
125427.733,-0.783516919,-0.195362895
126009.012,-0.772443739,-0.218020253
126592.984,-0.765671151,-0.206411411
127179.663,-0.756570364,-0.214300238
127769.061,-0.757226736,-0.227109015
128361.19,-0.743720436,-0.21824443
128956.063,-0.734503702,-0.218745507
129553.694,-0.733406854,-0.239480239
130154.093,-0.729717698,-0.242469734
130757.276,-0.715020561,-0.242424427
131363.253,-0.712079005,-0.251938934
131972.039,-0.702323048,-0.264035238
132583.647,-0.691935427,-0.262864247
133198.088,-0.685059301,-0.264424556
133815.378,-0.671324407,-0.284881634
134435.528,-0.661914064,-0.296892738
135058.552,-0.652332228,-0.278474411
135684.463,-0.641942368,-0.293600123
136313.275,-0.629618298,-0.296594637
136945.001,-0.626761101,-0.317539385
137579.655,-0.618301514,-0.318851948
138217.25,-0.600639572,-0.324282499
138857.8,-0.593006851,-0.340552674
139501.319,-0.577890302,-0.347272602
140147.82,-0.563252566,-0.362815905
140797.316,-0.552741865,-0.362945072
141449.823,-0.534462318,-0.367476449
142105.354,-0.526279722,-0.383226377
142763.923,-0.517303098,-0.398276627
143425.544,-0.501691786,-0.415091
144090.231,-0.48535542,-0.435415967
144757.999,-0.471534208,-0.429958884
145428.861,-0.458411515,-0.464501852
146102.832,-0.4451026,-0.448042556
146779.927,-0.426275578,-0.478994122
147460.159,-0.409749556,-0.4918946
148143.544,-0.385487114,-0.518988361
148830.096,-0.369783029,-0.521746294
149519.83,-0.356454273,-0.544200108
150212.76,-0.332563753,-0.56029684
150908.902,-0.31365346,-0.596586913
151608.27,-0.289249111,-0.604048898
152310.879,-0.266185227,-0.633209208
153016.744,-0.240875877,-0.672212623
153725.88,-0.21326033,-0.675638685
154438.303,-0.192978402,-0.721514134
155154.027,-0.164842807,-0.746972262
155873.068,-0.135360114,-0.772162894
156595.442,-0.106572714,-0.833561224
157321.163,-0.0778648183,-0.854446145
158050.248,-0.0455931261,-0.898915814
158782.711,-0.0114413621,-0.962691812
159518.569,0.0249914272,-1.0088476
160257.837,0.0596510581,-1.07232299
161000.531,0.0971094966,-1.12723975
161746.667,0.146902229,-1.19446758
162496.261,0.189461719,-1.23627628
163249.329,0.241027863,-1.33058534
164005.887,0.288204262,-1.42730455
164765.951,0.349536909,-1.52922432
165529.538,0.411732169,-1.63414353
166296.663,0.471237695,-1.75725158
167067.343,0.541818254,-1.89984281
167841.595,0.614389084,-2.05661127
168619.435,0.70175049,-2.22686161
169400.88,0.779090581,-2.43370606
170185.947,0.875369337,-2.67481337
170974.651,0.9809671,-2.9660615
171767.011,1.09704198,-3.28407165
172563.043,1.22424964,-3.66233802
173362.764,1.37395526,-4.12042376
174166.192,1.53225528,-4.66461016
174973.342,1.71054507,-5.34644551
175784.234,1.91642068,-6.17436817
176598.883,2.15157855,-7.23683478
177417.307,2.4139066,-8.55614186
178239.525,2.68832995,-10.2983309
179065.553,3.02321581,-12.6311222
179895.409,3.38418738,-15.7837923
180729.111,3.75803987,-20.1226443
181566.677,4.07713661,-26.1241145
182408.124,4.21110814,-34.3657506
183253.471,3.90292123,-44.598921
184102.735,2.88769154,-55.3326841
184955.936,1.14055204,-63.5943072
185813.09,-1.15236374,-66.6279644
186674.217,-3.41932825,-63.4325562
187539.334,-5.17552186,-54.8854109
188408.461,-6.20099684,-43.8227846
189281.615,-6.45293165,-33.3087276
190158.817,-6.27158247,-25.0353858
191040.083,-5.91615027,-18.9977284
191925.433,-5.51639817,-14.7326364
192814.887,-5.13194297,-11.6575717
193708.463,-4.78227577,-9.40120494
194606.179,-4.46848449,-7.74191353
